service_id,panel_id,figure_id,domain,axis_type,rank,n_metrics
svc_412589798229c678,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,10,3
svc_46e5a43370f75308,fig01_t1,fig01,APP,SERVICE_BRAND,12,1
svc_46e5a43370f75308,fig01_t2,fig01,APP,SERVICE_BRAND,13,1
svc_46e5a43370f75308,fig03_t1,fig03,APP,SERVICE_BRAND,7,2
svc_46e5a43370f75308,fig05_t1,fig05,APP,SERVICE_BRAND,3,3
svc_46e5a43370f75308,fig05_t2,fig05,APP,SERVICE_BRAND,1,1
svc_49a5eca8b58f7270,fig03_t1,fig03,APP,SERVICE_BRAND,4,2
svc_49a5eca8b58f7270,fig05_t1,fig05,APP,SERVICE_BRAND,2,3
svc_49a5eca8b58f7270,fig05_t2,fig05,APP,SERVICE_BRAND,3,1
svc_4feab7e61bf642e8,fig08_t1,fig08,RETAIL,SERVICE_BRAND,4,3
svc_4feab7e61bf642e8,fig10_t1,fig10,RETAIL,SERVICE_BRAND,4,2
svc_4feab7e61bf642e8,fig10_t2,fig10,RETAIL,SERVICE_BRAND,1,1
svc_51484a735cdb487b,fig06_t2,fig06,RETAIL,SERVICE_BRAND,15,1
svc_517b8047eb5be716,fig06_t1,fig06,RETAIL,SERVICE_BRAND,3,1
svc_517b8047eb5be716,fig06_t2,fig06,RETAIL,SERVICE_BRAND,5,1
svc_517b8047eb5be716,fig08_t1,fig08,RETAIL,SERVICE_BRAND,8,3
svc_517b8047eb5be716,fig11_t1,fig11,RETAIL,SERVICE_BRAND,2,2
svc_517b8047eb5be716,fig11_t2,fig11,RETAIL,SERVICE_BRAND,2,1
svc_5beeafeac2e27eae,fig01_t2,fig01,APP,SERVICE_BRAND,11,1
svc_5c614fc99631ce5e,fig08_t1,fig08,RETAIL,SERVICE_BRAND,2,3
svc_5c614fc99631ce5e,fig10_t1,fig10,RETAIL,SERVICE_BRAND,2,2
svc_5c614fc99631ce5e,fig10_t2,fig10,RETAIL,SERVICE_BRAND,4,1
svc_5ede56738376a8c5,fig01_t2,fig01,APP,SERVICE_BRAND,8,1
svc_60d4d22e3809f780,fig01_t2,fig01,APP,SERVICE_BRAND,9,1
svc_60d4d22e3809f780,fig02_t1,fig02,APP,SERVICE_BRAND,3,4
svc_64d30ef262d8782d,fig02_t1,fig02,APP,SERVICE_BRAND,14,4
svc_65f15ce8fee25b24,fig01_t1,fig01,APP,SERVICE_BRAND,10,1
svc_65f15ce8fee25b24,fig02_t1,fig02,APP,SERVICE_BRAND,6,4
svc_699a5e2f3f410152,fig01_t1,fig01,APP,SERVICE_BRAND,1,1
svc_699a5e2f3f410152,fig01_t2,fig01,APP,SERVICE_BRAND,2,1
svc_7594fc1d91ec9188,fig08_t1,fig08,RETAIL,SERVICE_BRAND,10,3
svc_77c78a1555cf28ae,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,4,3
svc_79cd0e07c1eac5dc,fig01_t1,fig01,APP,SERVICE_BRAND,7,1
svc_79cd0e07c1eac5dc,fig01_t2,fig01,APP,SERVICE_BRAND,10,1
svc_7ce399cd76c70efa,fig06_t1,fig06,RETAIL,SERVICE_BRAND,2,1
svc_7ce399cd76c70efa,fig06_t2,fig06,RETAIL,SERVICE_BRAND,7,1
svc_7e16a52529c5b629,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,7,3
svc_7f6f1aa6dd218d4d,fig06_t1,fig06,RETAIL,SERVICE_BRAND,4,1
svc_7f6f1aa6dd218d4d,fig06_t2,fig06,RETAIL,SERVICE_BRAND,10,1
svc_8195b68ac17e42a3,fig06_t2,fig06,RETAIL,SERVICE_BRAND,4,1
svc_8349e143ed01f677,fig01_t1,fig01,APP,SERVICE_BRAND,4,1
svc_8349e143ed01f677,fig01_t2,fig01,APP,SERVICE_BRAND,3,1
svc_888d37f34b5d3aaa,fig08_t1,fig08,RETAIL,SERVICE_BRAND,6,3
svc_88cb7f1e54f26500,fig06_t1,fig06,RETAIL,SERVICE_BRAND,14,1
svc_8d71ef6dc3fca6b0,fig06_t2,fig06,RETAIL,SERVICE_BRAND,11,1
svc_8fd5d30f8b1d707b,fig02_t1,fig02,APP,SERVICE_BRAND,12,4
svc_8fd5d30f8b1d707b,fig04_t1,fig04,APP,SERVICE_BRAND,5,2
svc_8fd5d30f8b1d707b,fig04_t2,fig04,APP,SERVICE_BRAND,3,1
svc_903a71c3a24e4116,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,3,3
svc_91b952863c62993d,fig02_t1,fig02,APP,SERVICE_BRAND,1,4
svc_92e05e8212e443a2,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,9,3
svc_9390ef32addf32bf,fig01_t1,fig01,APP,SERVICE_BRAND,5,1
svc_9390ef32addf32bf,fig01_t2,fig01,APP,SERVICE_BRAND,7,1
svc_95967b50683649f2,fig02_t1,fig02,APP,SERVICE_BRAND,13,4
svc_95e22b9aff7196b3,fig08_t1,fig08,RETAIL,SERVICE_BRAND,1,3
svc_95e22b9aff7196b3,fig10_t1,fig10,RETAIL,SERVICE_BRAND,1,2
svc_95e22b9aff7196b3,fig10_t2,fig10,RETAIL,SERVICE_BRAND,5,1
svc_9b353f64ce509d5a,fig06_t1,fig06,RETAIL,SERVICE_BRAND,15,1
svc_a215c45b2cc585ca,fig01_t2,fig01,APP,SERVICE_BRAND,14,1
svc_a6b8f11674c80b5f,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,5,3
svc_ad44f9ade6b9b551,fig01_t1,fig01,APP,SERVICE_BRAND,8,1
svc_ad44f9ade6b9b551,fig02_t1,fig02,APP,SERVICE_BRAND,10,4
svc_b6a2bad4a8d88e77,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,2,3
svc_b728911c9782edb8,fig02_t1,fig02,APP,SERVICE_BRAND,11,4
svc_b728911c9782edb8,fig04_t1,fig04,APP,SERVICE_BRAND,4,2
svc_b728911c9782edb8,fig04_t2,fig04,APP,SERVICE_BRAND,4,1
svc_b8b226f9fe32539a,fig03_t1,fig03,APP,SERVICE_BRAND,3,2
svc_bbdefa2950f49882,fig01_t1,fig01,APP,SERVICE_BRAND,3,1
svc_bbdefa2950f49882,fig03_t1,fig03,APP,SERVICE_BRAND,5,2
svc_bc65e77baaea207c,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,1,3
svc_be1e6feb78e5ef03,fig06_t2,fig06,RETAIL,SERVICE_BRAND,8,1
svc_c23db7aed7ecd624,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,8,3
svc_c5285b96b598a08b,fig06_t1,fig06,RETAIL,SERVICE_BRAND,13,1
svc_c5285b96b598a08b,fig06_t2,fig06,RETAIL,SERVICE_BRAND,13,1
svc_ccb9754c97fa7341,fig06_t1,fig06,RETAIL,SERVICE_BRAND,11,1
svc_ccd84811932b237b,fig06_t2,fig06,RETAIL,SERVICE_BRAND,9,1
svc_cdce1ffd6b1b1e24,fig03_t1,fig03,APP,SERVICE_BRAND,10,2
svc_d5ae5426eac23877,fig02_t1,fig02,APP,SERVICE_BRAND,7,4
svc_d5ae5426eac23877,fig03_t1,fig03,APP,SERVICE_BRAND,1,2
svc_d5ae5426eac23877,fig04_t1,fig04,APP,SERVICE_BRAND,2,2
svc_d5ae5426eac23877,fig04_t2,fig04,APP,SERVICE_BRAND,1,1
svc_dd2cec4c1fa2beec,fig06_t1,fig06,RETAIL,SERVICE_BRAND,5,1
svc_dd5061eb74e2d4d4,fig01_t1,fig01,APP,SERVICE_BRAND,11,1
svc_ddb7aefefe0273b4,fig01_t2,fig01,APP,SERVICE_BRAND,4,1
svc_e1fadb214cde51c0,fig01_t2,fig01,APP,SERVICE_BRAND,5,1
svc_e1fadb214cde51c0,fig02_t1,fig02,APP,SERVICE_BRAND,4,4
svc_e1fadb214cde51c0,fig03_t1,fig03,APP,SERVICE_BRAND,9,2
svc_e22ebedb0e6c205f,fig06_t1,fig06,RETAIL,SERVICE_BRAND,1,1
svc_e22ebedb0e6c205f,fig06_t2,fig06,RETAIL,SERVICE_BRAND,1,1
svc_e22ebedb0e6c205f,fig09_t1,fig09,RETAIL,SERVICE_BRAND,5,2
svc_e268b0ad5a2d6ece,fig08_t1,fig08,RETAIL,SERVICE_BRAND,5,3
svc_e268b0ad5a2d6ece,fig10_t1,fig10,RETAIL,SERVICE_BRAND,5,2
svc_e268b0ad5a2d6ece,fig10_t2,fig10,RETAIL,SERVICE_BRAND,3,1
svc_e296af221a5f7128,fig02_t1,fig02,APP,SERVICE_BRAND,15,4
svc_e4a6c04cbf9d9421,fig06_t1,fig06,RETAIL,SERVICE_BRAND,10,1
svc_e67be79550661604,fig06_t1,fig06,RETAIL,SERVICE_BRAND,8,1
svc_e67be79550661604,fig06_t2,fig06,RETAIL,SERVICE_BRAND,3,1
svc_e7bb158c1c8d9fe7,fig09_t1,fig09,RETAIL,SERVICE_BRAND,3,2
svc_ea031f85e857140e,fig06_t2,fig06,RETAIL,SERVICE_BRAND,12,1
svc_ed7b9bea21def8f8,fig01_t1,fig01,APP,SERVICE_BRAND,14,1
svc_ef06dc942ef3ccc9,fig08_t1,fig08,RETAIL,SERVICE_BRAND,9,3
svc_efda6e0b8457d63c,fig01_t1,fig01,APP,SERVICE_BRAND,9,1
svc_f322b894ee95c181,fig03_t1,fig03,APP,SERVICE_BRAND,6,2
svc_fb3d1841dddfd982,fig02_t1,fig02,APP,SERVICE_BRAND,2,4
svc_fb3d1841dddfd982,fig04_t1,fig04,APP,SERVICE_BRAND,1,2
svc_fb3d1841dddfd982,fig04_t2,fig04,APP,SERVICE_BRAND,2,1
svc_fcf244c9ad878906,fig03_t1,fig03,APP,SERVICE_BRAND,8,2
svc_fdce1294fac3dfdb,fig06_t1,fig06,RETAIL,SERVICE_BRAND,9,1
svc_fdce1294fac3dfdb,fig09_t1,fig09,RETAIL,SERVICE_BRAND,4,2
svc_ff3ee504792f6cfc,fig01_t1,fig01,APP,SERVICE_BRAND,6,1
svc_ff3ee504792f6cfc,fig01_t2,fig01,APP,SERVICE_BRAND,6,1
svc_ff3ee504792f6cfc,fig02_t1,fig02,APP,SERVICE_BRAND,8,4
